FREQ	ID	CORRECTED_ID	NAME_AS_IN_TEXT	REGULAR_EXPRESSION
000000001	@PID000001194	@PIDXXXXXXXXX	 الشيخ الصالح أبو محمد عيسى بن حجاج العامري الغيثي نسبة إلى @P03 الشيخ أبي الغيث أولا	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+محمد[ ~\n]+عيسى[ ~\n]+بن[ ~\n]+حجاج[ ~\n]+العامري[ ~\n]+الغيثي[ ~\n]+نسبة[ ~\n]+إلى[ ~\n]+@P03[ ~\n]+الشيخ[ ~\n]+أبي[ ~\n]+الغيث[ ~\n]+أولا
000000001	@PID000001193	@PIDXXXXXXXXX	 الفقيه العالم أبو محمد عمرو بن علي بن عمرو بن محمد بن عمرو بن اسعد بن أبي جعفر بن عباس التباعي. وكان يلقب بمظفر الدين	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+العالم[ ~\n]+أبو[ ~\n]+محمد[ ~\n]+عمرو[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+عمرو[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عمرو[ ~\n]+بن[ ~\n]+اسعد[ ~\n]+بن[ ~\n]+أبي[ ~\n]+جعفر[ ~\n]+بن[ ~\n]+عباس[ ~\n]+التباعي.[ ~\n]+وكان[ ~\n]+يلقب[ ~\n]+بمظفر[ ~\n]+الدين
000000001	@PID000001192	@PIDXXXXXXXXX	 الفقه الصالح ابن إبراهيم بن صالح بن علي بن أحمد العبري	@P\d\d \w*[ ~\n]+الفقه[ ~\n]+الصالح[ ~\n]+ابن[ ~\n]+إبراهيم[ ~\n]+بن[ ~\n]+صالح[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+العبري
000000001	@PID000001191	@PIDXXXXXXXXX	 افقه الإمام العالم البارع أبو عبد الله بن أبي بكر بن الحسين بن عبد الله الزوقري الركبي المعروف بابن الحطاب لان أباه كان يسكن @T02 قرية النويدرة التي هي على @T02 باب سهام من @T02 مدينة زبيد وكان يبيع الحطب فيها.	@P\d\d \w*[ ~\n]+افقه[ ~\n]+الإمام[ ~\n]+العالم[ ~\n]+البارع[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+أبي[ ~\n]+بكر[ ~\n]+بن[ ~\n]+الحسين[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+الزوقري[ ~\n]+الركبي[ ~\n]+المعروف[ ~\n]+بابن[ ~\n]+الحطاب[ ~\n]+لان[ ~\n]+أباه[ ~\n]+كان[ ~\n]+يسكن[ ~\n]+@T02[ ~\n]+قرية[ ~\n]+النويدرة[ ~\n]+التي[ ~\n]+هي[ ~\n]+على[ ~\n]+@T02[ ~\n]+باب[ ~\n]+سهام[ ~\n]+من[ ~\n]+@T02[ ~\n]+مدينة[ ~\n]+زبيد[ ~\n]+وكان[ ~\n]+يبيع[ ~\n]+الحطب[ ~\n]+فيها.
000000001	@PID000001190	@PIDXXXXXXXXX	 الشيخ الصالح العارف بالله أبو الحسن أحمد ابن PageV01P145 علوان الصوفي	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+الصالح[ ~\n]+العارف[ ~\n]+بالله[ ~\n]+أبو[ ~\n]+الحسن[ ~\n]+أحمد[ ~\n]+ابن[ ~\n]+PageV01P145[ ~\n]+علوان[ ~\n]+الصوفي
000000001	@PID000001189	@PIDXXXXXXXXX	 الفقيه الصالح أبو الحسن علي بن سير بن إسماعيل بن الحسن الواسطي.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+الحسن[ ~\n]+علي[ ~\n]+بن[ ~\n]+سير[ ~\n]+بن[ ~\n]+إسماعيل[ ~\n]+بن[ ~\n]+الحسن[ ~\n]+الواسطي.
000000001	@PID000001188	@PIDXXXXXXXXX	 الفقيه أبو عبد الله محمد بن عمر العلوي	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عمر[ ~\n]+العلوي
000000001	@PID000001187	@PIDXXXXXXXXX	 الفقيه الإمام البارع أبو العتيق أبو بكر بن عيسى بن عثمان الأشعري المعروف بابن حنكاش العلامة الحنفي المشهور	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الإمام[ ~\n]+البارع[ ~\n]+أبو[ ~\n]+العتيق[ ~\n]+أبو[ ~\n]+بكر[ ~\n]+بن[ ~\n]+عيسى[ ~\n]+بن[ ~\n]+عثمان[ ~\n]+الأشعري[ ~\n]+المعروف[ ~\n]+بابن[ ~\n]+حنكاش[ ~\n]+العلامة[ ~\n]+الحنفي[ ~\n]+المشهور
000000001	@PID000001186	@PIDXXXXXXXXX	 الفقيه الصالح المشهور أبو بكر بن محمد بن رشد بضم الراء وفتح الشين	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+المشهور[ ~\n]+أبو[ ~\n]+بكر[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+رشد[ ~\n]+بضم[ ~\n]+الراء[ ~\n]+وفتح[ ~\n]+الشين
000000001	@PID000001185	@PIDXXXXXXXXX	 الفقيه الصالح أبو الربيع سليمان الملقب بالجنيد بن محمد بن أسعد بن همدان بن يغفر بن أبي النهى.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+الربيع[ ~\n]+سليمان[ ~\n]+الملقب[ ~\n]+بالجنيد[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أسعد[ ~\n]+بن[ ~\n]+همدان[ ~\n]+بن[ ~\n]+يغفر[ ~\n]+بن[ ~\n]+أبي[ ~\n]+النهى.
000000001	@PID000001184	@PIDXXXXXXXXX	 الأمير الكبير شجاع الدين عباس بن عبد الجليل ابن عبد الرحمن التغلبي.	@P\d\d \w*[ ~\n]+الأمير[ ~\n]+الكبير[ ~\n]+شجاع[ ~\n]+الدين[ ~\n]+عباس[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الجليل[ ~\n]+ابن[ ~\n]+عبد[ ~\n]+الرحمن[ ~\n]+التغلبي.
000000001	@PID000001183	@PIDXXXXXXXXX	 الفقيه أبو العباس أحمد بن علي	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+أبو[ ~\n]+العباس[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+علي
000000001	@PID000001182	@PIDXXXXXXXXX	 الفقيه الكبير زريع بن محمد بن عبد الواحد بن مسعود بن عبد الله الباجي الهمداني.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الكبير[ ~\n]+زريع[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الواحد[ ~\n]+بن[ ~\n]+مسعود[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+الباجي[ ~\n]+الهمداني.
000000001	@PID000001181	@PIDXXXXXXXXX	 الفقيه الصالح المشهور أبو الخطاب عمر بن سعيد ابن أبي السعود بن أحمد الهمذاني العقيبي.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+المشهور[ ~\n]+أبو[ ~\n]+الخطاب[ ~\n]+عمر[ ~\n]+بن[ ~\n]+سعيد[ ~\n]+ابن[ ~\n]+أبي[ ~\n]+السعود[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+الهمذاني[ ~\n]+العقيبي.
000000001	@PID000001180	@PIDXXXXXXXXX	 الشيخ الصالح علي بن أحمد الرميمة	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+الصالح[ ~\n]+علي[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+الرميمة
